Release Month  Release Date	Release Year	Movie	Budget ($M)	Domestic ($M)	Worldwide ($M)
3	14	2003	Willard	20	6.882696	6.882696
12	17	1999	Topsy Turvy	20	6.201757	6.201757
10	26	2012	Chasing Mavericks	20	6.002756	8.300821
11	23	2011	A Dangerous Method	20	5.702083	14.807531
7	7	2006	A Scanner Darkly	20	5.501616	7.405084
8	14	2009	Bandslam	20	5.210988	12.967829
1	28	2005	Alone in the Dark	20	5.178569	8.178569
10	29	2004	Birth	20	5.005899	14.603001
10	24	2008	Passchendaele	20	4.452423	4.453327
11	21	2007	I'm Not There	20	4.017609	11.498547
9	7	2012	The Cold Light of Day	20	3.763583	12.425385
5	15	2009	The Brothers Bloom	20	3.531756	5.531756
10	24	2008	Synecdoche, New York	20	3.083538	4.383538
10	29	1999	Mononoke-hime	20	2.374107	150.35
3	19	2004	Bon Voyage	20	2.353728	8.361736
1	1	1980	Can't Stop the Music	20	2	2
5	5	2006	The Proposition	20	1.903434	5.313608
8	22	2003	Marci X	20	1.646664	1.646664
12	6	2002	Equilibrium	20	1.190018	5.345869
4	29	2011	Dylan Dog: Dead of Night	20	1.186538	6.090697
8	29	2012	The Oogieloves in the BIG Balloon Adventure	20	1.065907	1.065907
5	23	2008	The Children of Huang Shi	20	1.031872	5.527507
10	20	2000	The Yards	20	0.88271	2.28271
12	3	2010	All Good Things	20	0.582024	0.645024
3	18	2005	Steamboy	20	0.468867	10.468867
4	22	2005	The Game of Their Lives	20	0.375474	0.375474
9	11	1994	Rapa Nui	20	0.30507	0.30507
12	10	2010	The Tempest	20	0.277943	0.277943
3	7	2008	CJ7	20	0.206678	47.300771
3	27	1998	Couloirs du temps: Les visiteurs 2, Les	20	0.146072	26.146072
4	25	2003	People I Know	20	0.121972	5.694213
12	31	2008	Koltchak	20	0	38.585047
4	13	2010	Three Kingdoms: Resurrection of the Dragon	20	0	22.13959
3	31	2004	The Touch	20	0	5.918742
12	31	2010	Story of Bonnie and Clyde, The	20	0	0
12	31	2007	Ramanujan	20	0	0
6	6	2014	Little Boy	20	0	0
8	21	2009	Der Baader Meinhof Komplex	19.7	0.47627	16.498827
12	20	2006	The Painted Veil	19.4	8.060487	15.118795
8	23	2013	The Frozen Ground	19.2	0	0
7	29	2011	The Devil's Double	19.1	1.361512	2.406666
7	3	1985	Back to the Future	19	210.609762	383.874862
11	9	1990	Dances with Wolves	19	184.208842	424.2
7	7	2000	Scary Movie	19	157.019771	277.2
6	24	2011	Bad Teacher	19	100.292856	216.412265
1	10	2003	Just Married	19	56.127162	56.127162
9	11	2009	I Can Do Bad All By Myself	19	51.733921	51.733921
7	16	2004	A Cinderella Story	19	51.438175	70.067909
5	23	1980	The Shining	19	44.017374	44.017374
10	26	2001	Thirteen Ghosts	19	41.86796	68.46796
10	29	1999	House on Haunted Hill	19	40.846082	65.090541
2	26	2010	The Crazies	19	39.123589	54.95614
1	16	2009	Notorious	19	36.843682	44.475155
8	20	2010	The Switch	19	27.758465	49.858465
1	8	2010	Leap Year	19	25.91892	32.61892
11	8	2013	The Book Thief	19	21.488481	76.788481
10	19	2007	Gone, Baby, Gone	19	20.300218	34.619699
7	26	2000	Thomas and the Magic Railroad	19	15.911332	15.911332
11	8	1962	Mutiny on The Bounty	19	13.68	13.68
9	20	2002	Sen to Chihiro no Kamikakushi	19	10.049886	274.949886
10	17	2008	Sex Drive	19	8.402485	10.412485
1	9	1998	Firestorm	19	8.12386	8.12386
9	28	2012	Won't Back Down	19	5.310554	5.431486
1	1	1964	The Fall of the Roman Empire	19	4.75	4.75
1	1	1993	The Nutcracker	19	2.119994	2.119994
8	16	1996	Kansas City	19	1.353824	1.353824
6	24	2005	George A. Romero's Land of the Dead	18.975	20.700082	47.751015
12	15	2006	Indigènes	18.9	0.3207	26.063572
4	15	2005	The Amityville Horror	18.5	65.233369	109.175673
12	6	2002	Adaptation	18.5	22.49852	22.49852
10	2	2009	The Invention of Lying	18.5	18.451251	32.679264
5	22	1998	Fear and Loathing in Las Vegas	18.5	10.680275	13.711903
2	2	2001	Left Behind	18.5	4.221341	4.221341
5	9	2014	Neighbors	18	143.32464	232.133195
11	3	2006	Borat	18	128.505958	261.572744
7	29	1994	The Mask	18	119.920129	351.620129
6	3	1988	Big	18	114.968774	151.668774
7	13	2001	Legally Blonde	18	96.493426	141.809235
4	30	2004	Mean Girls	18	86.047227	130.953026
6	1	1984	Star Trek III: The Search for Spock	18	76.471046	87
9	9	2005	The Exorcism of Emily Rose	18	75.072454	144.5877
12	10	1999	Deuce Bigalow: Male Gigolo	18	65.535067	92.935067
2	6	2004	Barbershop 2: Back in Business	18	65.070412	65.842412
12	16	2005	The Family Stone	18	60.062868	91.762868
11	26	2003	Bad Santa	18	60.060328	60.063017
6	12	1987	Predator	18	59.735548	98.267558
5	2	1997	Austin Powers: International Man of Mystery	18	53.883989	67.683989
3	25	2011	Diary of a Wimpy Kid: Rodrick Rules	18	52.698535	73.695194
9	19	1984	Amadeus	18	51.973029	51.973029
4	11	2008	Prom Night	18	43.86935	57.109687
4	8	2011	Soul Surfer	18	43.853424	47.158652
10	10	1986	Peggy Sue Got Married	18	41.382841	41.382841
12	26	2001	Gosford Park	18	41.300105	41.300105
1	11	2002	Orange County	18	41.059716	43.308707
7	26	2013	Blue Jasmine	18	33.404871	68.506869
4	28	2006	United 93	18	31.567134	77.635035
12	5	2003	Honey	18	30.272254	62.192232
10	14	2005	The Fog	18	29.511112	37.048526
5	24	1996	Spy Hard	18	26.936265	26.936265
12	14	1989	Glory	18	26.59358	26.59358
6	29	1984	Conan the Destroyer	18	26.4	26.4
6	24	1970	Catch-22	18	24.91167	24.91167
11	14	1980	Raging Bull	18	23.380203	23.380203
9	18	2009	Love Happens	18	22.96511	35.36511
9	25	2009	Fame	18	22.45551	77.956957
12	4	1985	Young Sherlock Holmes	18	19.739	19.739
11	5	2010	127 Hours	18	18.33523	60.73523
5	19	2000	Small Time Crooks	18	17.266359	29.934477
5	12	2000	Center Stage	18	17.200925	17.200925
2	6	2004	Catch That Kid	18	16.703799	16.930762
8	16	2013	Jobs	18	16.13141	26.13141
10	26	2001	Life as a House	18	15.652637	23.889158
1	8	2010	Youth in Revolt	18	15.285588	19.685588
7	10	2009	I Love You, Beth Cooper	18	14.800725	16.382538
7	24	1981	Blow Out	18	13.747234	13.747234
3	30	2001	Tailor of Panama	18	13.491653	27.491653
5	22	1981	The Legend of the Lone Ranger	18	13.4	13.4
1	31	2014	Labor Day	18	13.371528	13.371528
8	30	2013	Getaway	18	10.501938	10.501938
9	26	1997	The Ice Storm	18	8.038061	16.011975
10	15	2004	Being Julia	18	7.739049	14.488705
3	22	1989	Troop Beverly Hills	18	7.190505	7.190505
2	21	1986	Nine 1/2 Weeks	18	6.734844	6.734844
1	15	2010	The Last Station	18	6.617867	15.696146
6	26	1981	Dragonslayer	18	6	6
9	30	1994	Ed Wood	18	5.828466	5.828466
10	8	2008	RocknRolla	18	5.700626	27.794339
6	25	1982	Megaforce	18	5.675599	5.675599
8	20	2010	Mao's Last Dancer	18	4.80675	12.949849
12	25	1996	Hamlet	18	4.501094	7.12967
12	29	1995	Restoration	18	4.1	4.1
9	27	2013	Metallica Through the Never	18	3.422409	9.085348
9	19	2003	Anything Else	18	3.203044	13.203044
2	23	1996	Unforgettable	18	2.48379	2.48379
12	30	2009	Das Weisse Band: Eine deutsche Kindergeschichte	18	2.222862	25.727044
4	26	2002	The Salton Sea	18	0.676698	0.676698
4	24	2009	The Informers	18	0.315	0.315
9	24	1999	One Man's Hero	18	0.229311	0.229311
10	15	2010	Carlos	18	0.145526	0.145526
12	31	2008	I Come with the Rain	18	0	0.627422
4	8	2008	Day of the Dead	18	0	0
12	31	2014	The Prince	18	0	0
6	28	1985	Red Sonja	17.9	6.905861	6.905861
8	17	2007	Superbad	17.5	121.463226	169.863226
2	20	2009	Madea Goes To Jail	17.5	90.508336	90.508336
2	14	2008	Step Up 2 the Streets	17.5	58.017783	148.58691
12	16	2005	Hoodwinked	17.5	51.386611	109.84339
11	21	2007	Hitman	17.5	39.687694	99.965792
12	22	2004	Hotel Rwanda	17.5	23.519128	36.521223
11	27	2013	Black Nativity	17.5	7.018188	7.018188
4	25	2003	City of Ghosts	17.5	0.325491	0.325491
8	10	2001	The Others	17	96.522687	209.947037
7	18	1986	Aliens	17	85.160248	183.316455
10	17	1997	I Know What You Did Last Summer	17	72.250091	125.250091
10	22	1964	My Fair Lady	17	72	72
10	22	2004	Sideways	17	71.502303	109.874155
11	15	2013	The Best Man Holiday	17	70.525195	71.625195
2	13	2009	Friday the 13th	17	65.002019	91.700771
9	28	2012	Pitch Perfect	17	65.001093	115.331177
8	5	1998	Halloween: H2O	17	55.041738	55.041738
4	5	2013	Evil Dead	17	54.239856	97.402049
8	27	2004	Jet Li's Hero	17	53.65214	177.535958
3	10	2006	The Hills Have Eyes	17	41.778863	70.355813
3	1	2002	40 Days and 40 Nights	17	37.939782	95.092667
10	10	2003	Good Boy!	17	37.667746	45.312217
1	26	2007	Smokin' Aces	17	35.662731	56.047261
10	2	1998	A Night at the Roxbury	17	30.331165	30.331165
3	4	2011	Beastly	17	27.865571	38.02823
3	5	2010	Brooklyn's Finest	17	27.163593	39.233233
7	9	1982	Tron	17	26.918576	26.918576
8	20	2010	Lottery Ticket	17	24.719879	24.719879
9	5	2003	Dickie Roberts: Former Child Star	17	22.734486	23.734486
3	31	2006	ATL	17	21.170563	21.170563
8	24	2001	Summer Catch	17	19.693891	19.693891
12	11	1998	A Simple Plan	17	16.316273	16.316273
3	24	2006	Larry the Cable Guy: Health Inspector	17	15.680099	15.680099
11	27	2002	Wes Craven Presents: They	17	12.840842	16.140842
10	1	1999	The Adventures of Elmo in Grouchland	17	11.634458	11.634458
7	24	1987	Superman IV: The Quest for Peace	17	11.227824	11.227824
1	1	1963	55 Days at Peking	17	10	10
4	21	2006	American Dreamz	17	7.314027	16.510971
2	24	2006	Running Scared	17	6.855137	8.345277
8	24	2012	The Apparition	17	4.936819	6.909667
4	30	2004	Bobby Jones: Stroke of Genius	17	2.694071	2.694071
8	29	1986	Shanghai Surprise	17	2.315	2.315
12	25	2010	L'illusionniste	17	2.231474	5.631474
1	1	1981	Roar	17	2	2
10	17	2003	Veronica Guerin	17	1.569918	9.438074
11	14	2007	Southland Tales	17	0.27538	0.364607
6	23	2009	Chasseurs de dragons	17	0	13.446115
10	21	1977	Damnation Alley	17	0	0
11	10	2006	FUR: An Imaginary Portrait of Diane Arbus	16.8	0.223202	2.281089
12	11	1987	Wall Street	16.5	43.8481	43.8481
12	11	1995	Sense and Sensibility	16.5	42.993774	134.993774
8	18	2006	The Illusionist	16.5	39.868642	83.792062
8	3	2007	Becoming Jane	16.5	18.663911	39.364948
12	19	2003	House of Sand and Fog	16.5	13.005485	16.157923
9	21	2007	Sydney White	16.5	11.892415	13.636339
12	31	2007	Arn - Tempelriddaren	16.5	0	14.9
6	2	1989	Dead Poets' Society	16.4	95.860116	239.5
12	16	1994	Dumb & Dumber	16	127.175374	246.4
5	19	2000	Road Trip	16	68.525609	119.73911
12	8	1982	The Verdict	16	53.97725	53.97725
1	15	1999	Varsity Blues	16	52.894169	54.294169
5	25	2012	Moonrise Kingdom	16	45.512466	64.012466
11	25	2011	The Artist	16	44.667095	128.256712
1	9	2009	The Unborn	16	42.67041	78.208812
8	2	2002	The Master of Disguise	16	40.36353	40.36353
10	6	2006	The Texas Chainsaw Massacre: The Beginning	16	39.517763	50.517763
12	29	2006	El Laberinto del Fauno	16	37.634615	87.041569
2	4	2011	The Roommate	16	37.300107	40.497461
2	2	2007	The Messengers	16	35.374833	53.774833
3	2	2001	See Spot Run	16	33.357476	43.057552
8	9	1991	Double Impact	16	29.090445	29.090445
6	27	2001	Baby Boy	16	28.734552	28.734552
4	11	2001	Joe Dirt	16	27.087695	30.987695
9	12	2008	The Women	16	26.902075	50.103808
4	20	2007	Hot Fuzz	16	23.618786	81.742618
8	15	2008	Vicky Cristina Barcelona	16	23.216709	104.504817
6	16	2000	Boys and Girls	16	21.799652	21.799652
11	18	1994	Léon	16	19.284974	45.284974
3	12	2010	Remember Me	16	19.06824	56.50612
10	11	2002	White Oleander	16	16.35777	21.65777
9	18	2009	Jennifer's Body	16	16.204793	32.832166
3	3	2000	Drowning Mona	16	15.427192	15.980376
1	30	1987	Radio Days	16	14.792779	14.792779
7	18	2003	How to Deal	16	14.108518	14.108518
5	28	2004	Soul Plane	16	13.922211	14.553807
12	9	1988	My Stepmother Is an Alien	16	13.854	13.854
6	29	2012	People Like Us	16	12.431792	12.431792
5	28	1999	The Thirteenth Floor	16	11.810854	11.810854
9	3	2004	The Cookout	16	11.540112	11.540112
1	1	1979	Meteor	16	8.4	8.4
3	7	1986	Highlander	16	5.9	12.9
5	3	2002	Hollywood Ending	16	4.839383	14.839383
9	15	2000	Duets	16	4.734235	4.734235
8	13	1999	Detroit Rock City	16	4.217115	4.217115
10	19	2007	Things We Lost in the Fire	16	3.287315	8.120148
4	5	2013	Trance	16	2.322593	22.594052
8	15	1997	Steel	16	1.686429	1.686429
12	21	2005	The White Countess	16	1.669971	2.814566
7	25	2008	Bienvenue chez les Ch'tis	16	1.47765	247.474497
9	24	2010	Enter the Void	16	0.337997	0.337997
12	31	2008	Good	16	0.031631	0.031631
11	2	2012	Vamps	16	0.003361	0.003361
12	31	1998	Trance	16	0	0
1	1	1972	High Plains Drifter	15.7	15.7	15.7
6	21	2002	Juwanna Mann	15.6	13.571817	13.771817
6	8	2007	La Môme	15.5	10.299782	86.339907
11	15	2002	Ararat	15.5	1.693	1.693
4	13	2007	Slow Burn	15.5	1.237615	1.237615
4	22	2005	Madison	15.5	0.517262	0.517262
2	26	2010	The Yellow Handkerchief	15.5	0.318623	0.318623
9	27	2002	Wasabi	15.3	0.081525	7
3	31	2006	Slither	15.25	7.80245	12.930343
11	16	1990	Home Alone	15	285.761243	476.684675
12	5	1984	Beverly Hills Cop	15	234.760478	316.3
5	16	1986	Top Gun	15	179.800601	356.800601
12	17	1982	Tootsie	15	177.2	177.2
11	25	1987	3 Men and a Baby	15	167.78096	167.78096
11	26	2010	The King's Speech	15	138.797449	430.821166
9	15	1999	American Beauty	15	130.058047	356.258047
12	8	2000	Crouching Tiger, Hidden Dragon	15	128.067808	213.2
12	9	1988	Twins	15	111.936388	216.6
12	20	1996	Scream	15	103.046663	173.046663
10	25	2013	Jackass Presents: Bad Grandpa	15	102.003019	160.903019
12	18	1985	The Color Purple	15	93.589701	93.589701
3	30	1988	Beetle Juice	15	73.326666	73.326666
11	18	1959	Ben-Hur	15	73	73
1	18	2013	Mama	15	71.62818	148.041253
10	10	1980	Private Benjamin	15	69.847348	69.847348
3	6	1987	Lethal Weapon	15	65.19235	120.19235
3	19	2010	Diary of a Wimpy Kid	15	64.003625	76.954311
8	31	2007	Halloween	15	58.269151	77.514401
9	30	2006	The Queen	15	56.441711	128.885873
2	3	2012	The Woman in Black	15	54.33329	128.955898
12	21	1994	Little Women	15	50.003303	50.003303
1	1	1979	The Deer Hunter	15	50	50
2	3	2006	When a Stranger Calls	15	47.860214	66.944472
2	8	2002	Big Fat Liar	15	47.811275	52.375275
8	15	1997	Cop Land	15	44.906632	63.706632
12	25	1997	Wag the Dog	15	43.05747	64.252038
2	22	2013	Snitch	15	42.930462	48.120954
5	2	2003	The Lizzie McGuire Movie	15	42.734455	55.534455
9	21	2012	End of Watch	15	41.003371	53.041274
12	25	1998	The Faculty	15	40.283321	40.283321
12	14	2001	Not Another Teen Movie	15	37.882551	62.401343
12	16	1962	Lawrence of Arabia	15	37.495385	69.995385
9	16	2011	Drive	15	35.060689	78.054825
3	31	2000	The Skulls	15	35.00718	35.00718
10	10	1966	Hawaii	15	34.562222	34.562222
4	18	2003	Malibu's Most Wanted	15	34.308901	34.499204
9	4	2009	All About Steve	15	33.862903	40.127259
4	28	2000	Where the Heart Is	15	33.771174	40.862054
8	28	2009	Halloween 2	15	33.392973	38.51285
2	18	2005	Because of Winn-Dixie	15	32.647042	33.508485
4	22	2009	earth	15	32.011576	109.011576
2	4	2005	The Wedding Date	15	31.726995	47.175038
9	25	1987	The Princess Bride	15	30.857	30.857
7	12	2002	Halloween: Resurrection	15	30.259652	37.659652
12	25	2007	The Great Debaters	15	30.226144	30.261293
6	12	1981	Clash of the Titans	15	30	44.4
2	20	2004	Confessions of a Teenage Drama Queen	15	29.331068	33.118854
4	17	1998	The Object of my Affection	15	29.145924	29.145924
5	11	2007	28 Weeks Later	15	28.638916	64.232714
4	11	1997	Grosse Pointe Blank	15	28.084357	31.070412
4	21	2000	Love and Basketball	15	27.441122	27.709625
10	27	2000	Book of Shadows: Blair Witch 2	15	26.421314	47.721314
10	10	1997	Boogie Nights	15	26.410771	43.111725
7	23	2010	Ramona and Beezus	15	26.167002	27.469621
5	3	1996	The Craft	15	24.769466	55.669466
12	28	2005	Match Point	15	23.089926	87.989926
11	5	1993	The Remains of the Day	15	22.954968	63.954968
1	15	1993	Nowhere to Run	15	22.189039	52.189039
9	22	2000	Urban Legends: Final Cut	15	21.468807	38.574362
3	29	2013	The Place Beyond the Pines	15	21.403519	47.011449
10	20	2006	Flicka	15	21.000147	21.896367
3	23	2007	The Hills Have Eyes II	15	20.804166	37.466538
12	22	2010	Country Strong	15	20.218921	20.551476
10	11	2002	Tuck Everlasting	15	19.161999	19.344615
10	13	2006	The Marine	15	18.844784	22.165608
7	24	1998	Disturbing Behavior	15	17.507368	17.507368
3	6	1998	The Big Lebowski	15	17.498804	46.189568
6	26	2009	The Hurt Locker	15	17.017811	49.894223
1	28	2000	Eye of the Beholder	15	16.500786	18.260865
11	2	2012	The Man with the Iron Fists	15	15.63409	21.985095
11	30	2012	Killing Them Softly	15	14.945541	37.238774
4	20	2001	Freddy Got Fingered	15	14.249005	14.249005
8	19	2011	One Day	15	13.843771	48.086053
10	2	2009	Whip It	15	13.043363	18.856151
1	11	2008	The Pirates Who Don't Do Anything: A VeggieTales Movie	15	12.981269	13.248444
1	23	2008	U2 3D	15	12.898847	26.170402
9	1	2000	Highlander: Endgame	15	12.80119	12.80119
8	25	2006	Idlewild	15	12.669914	12.669914
4	25	2003	Confidence	15	12.212417	12.212417
10	11	2002	Knockaround Guys	15	11.66018	12.4197
8	27	1999	The Muse	15	11.614954	11.614954
4	3	1998	Barney's Great Adventure	15	11.156471	11.156471
3	1	1989	New York Stories	15	10.763469	10.763469
11	25	1998	Home Fries	15	10.513979	10.513979
3	24	2000	Here on Earth	15	10.494147	10.845127
10	8	2004	Raise Your Voice	15	10.41198	14.81198
12	18	1985	Brazil	15	9.929135	9.929135
4	23	1993	The Dark Half	15	9.579068	9.579068
3	2	2007	Black Snake Moan	15	9.39687	9.39687
2	21	2003	Dark Blue	15	9.23747	12.262065
5	10	2013	Peeples	15	9.177065	9.177065
6	22	2007	A Mighty Heart	15	9.176787	18.932117
9	30	1983	Brainstorm	15	8.92105	8.92105
3	24	2000	Whatever it Takes	15	8.735529	8.735529
3	21	2003	Boat Trip	15	8.586376	14.933713
5	22	2002	The Importance of Being Earnest	15	8.378141	8.378141
5	21	1999	The Love Letter	15	8.322608	8.322608
5	5	2006	Hoot	15	8.117637	8.224998
2	8	2008	In Bruges	15	7.800825	34.533783
12	28	2012	Promised Land	15	7.597898	9.300336
10	8	2001	Mulholland Drive	15	7.219578	11.919578
8	20	2008	The Rocker	15	6.409528	8.767338
6	19	2009	Whatever Works	15	5.306706	35.106706
7	19	2000	The In Crowd	15	5.217498	5.217498
12	14	2005	Los tres entierros de Melquiades Estrada	15	5.027684	13.454474
9	24	1999	Jakob the Liar	15	4.956401	4.956401
9	28	2007	Se jie	15	4.604982	65.696051
10	21	2005	Kiss Kiss, Bang Bang	15	4.235837	13.105837
4	30	1999	Idle Hands	15	4.023741	4.023741
9	22	2010	You Will Meet a Tall Dark Stranger	15	3.247816	34.247816
9	15	2010	Never Let Me Go	15	2.434652	11.509512
12	25	2003	The Company	15	2.281585	3.396508
7	18	2008	Transsiberian	15	2.203641	6.379575
10	22	1999	Crazy in Alabama	15	1.954202	1.954202
1	17	1986	The Clan of the Cave Bear	15	1.953732	1.953732
6	2	2006	Banlieue 13	15	1.200216	11.208291
11	12	1999	Felicia's Journey	15	0.824295	1.970268
1	25	2002	Metropolis (2002)	15	0.673414	0.673414
12	1	1995	Things to Do in Denver when You're Dead	15	0.529766	0.529766
2	6	2004	The Return	15	0.501752	2.65849
7	25	2003	Buffalo Soldiers	15	0.353743	0.353743
4	25	2003	Steal (Canadian Release)	15	0.220944	0.220944
8	27	2010	Centurion	15	0.12357	6.62357
10	23	2009	Ong-Bak 2	15	0.102458	7.58305
12	31	1996	Silent Trigger	15	0.076382	0.076382
8	1	2008	Midnight Meat Train	15	0.073548	1.590246
11	4	2011	The Son of No One	15	0.03068	1.148578
10	25	2002	All the Queen's Men	15	0.022723	0.022723
10	5	2007	The Good Night	15	0.022441	0.022441
12	31	2008	Bathory	15	0	3.436763
12	31	2005	Dungeons & Dragons 2: The Elemental Might	15	0	0.909822
2	5	2010	Shinjuku Incident	15	0	0
6	29	2001	Pandaemonium	15	0	0
12	31	2014	Automata	15	0	0
2	12	1993	Groundhog Day	14.6	70.906973	70.906973
11	1	1996	Romeo+Juliet	14.5	46.338728	147.542381
7	22	2011	Elle s'appelait Sarah	14.5	7.6917	25.480031
8	7	1992	Unforgiven	14.4	101.157447	159.157447
1	27	2006	Manderlay	14.2	0.074205	0.543306
3	23	1990	Pretty Woman	14	178.406268	432.645872
9	18	1987	Fatal Attraction	14	156.645693	320.1
11	12	2008	Slumdog Millionaire	14	141.319928	384.519665
12	17	1974	Towering Inferno	14	116	139.7
12	20	1989	Born on the Fourth of July	14	70.001698	70.001698
10	1	1993	Cool Runnings	14	68.856263	155.056263
1	12	2007	Stomp the Yard	14	61.356221	75.525718
1	16	2009	My Bloody Valentine	14	51.545952	102.754998
10	22	1982	First Blood	14	47.212904	125.212904
7	13	1977	The Spy Who Loved Me	14	46.8	185.4
9	25	1998	Urban Legend	14	38.116707	72.571864
12	9	1981	Taps	14	35.856053	35.856053
2	24	2012	Tyler Perry's Good Deeds	14	35.025791	35.025791
1	18	1991	White Fang	14	34.729091	34.729091
12	21	1988	Dangerous Liaisons	14	34.7	34.7
10	8	1999	Superstar	14	30.628981	30.628981
12	30	2011	The Iron Lady	14	29.959436	115.592104
7	23	1993	Poetic Justice	14	27.450453	27.450453
10	4	2002	Jonah: A VeggieTales Movie	14	25.571351	25.608779
3	8	2002	All About the Benjamins	14	25.482931	25.873145
6	17	1977	Exorcist II: The Heretic	14	25.011	25.011
10	27	1995	Vampire in Brooklyn	14	19.637147	19.637147
5	5	2006	An American Haunting	14	16.298046	30.443277
8	22	2003	My Boss's Daughter	14	15.549702	15.549702
8	7	2009	A Perfect Getaway	14	15.51546	22.81546
10	25	1996	Thinner	14	15.171475	15.171475
8	21	1998	Dead Man on Campus	14	15.064948	15.064948
5	14	1999	Tea with Mussolini	14	14.395874	14.395874
6	22	1977	New York, New York	14	13.8	13.8
4	26	2002	Jason X	14	13.121555	16.951798
5	13	1994	Crooklyn	14	13.02417	13.02417
3	16	2007	I Think I Love My Wife	14	12.559771	13.205411
11	17	2006	Bobby	14	11.242801	20.597806
2	2	2001	Head Over Heels	14	10.397365	10.397365
4	23	1999	Lost and Found	14	6.552255	6.552255
11	30	2007	Le Scaphandre et le Papillon	14	5.990075	22.754472
10	6	2006	Little Children	14	5.463019	14.763019
4	21	2000	Gossip	14	5.10882	12.59127
3	26	1999	A Walk on the Moon	14	4.741987	4.741987
10	27	2006	Catch a Fire	14	4.299773	5.699773
9	7	2001	Soul Survivors	14	3.10065	4.288246
5	22	2009	Easy Virtue	14	2.656784	12.656784
3	31	1995	Jefferson in Paris	14	2.461628	2.461628
8	6	2010	Flipped	14	1.755212	1.755212
1	1	1978	Caravans	14	1	1
6	25	2010	Les herbes folles	14	0.403952	1.903952
1	24	2003	Amen	14	0.274299	0.274299
9	26	2008	The Lucky Ones	14	0.266967	0.266967
9	30	2011	Margaret	14	0.047185	0.047185
12	9	2005	Brokeback Mountain	13.9	83.043761	174.097801
7	1	1995	Clueless	13.7	56.598476	56.598476
3	30	1990	Teenage Mutant Ninja Turtles	13.5	135.265915	202
10	5	1956	The Ten Commandments	13.5	80	80
11	8	2002	Far From Heaven	13.5	15.901849	29.027914
10	12	2012	Seven Psychopaths	13.5	15.024049	23.492318
11	22	2000	Quills	13.5	7.060876	11.732088
1	29	1982	The Border	13.5	6.118683	6.118683
2	18	2005	Downfall	13.5	5.50194	93.631742
3	2	2001	The Caveman's Valentine	13.5	0.687081	0.892506
4	1	2011	The Last Godfather	13.4	0.164247	0.164247
12	17	2004	Mar adentro	13.3	2.086345	39.686345
12	23	1987	Good Morning Vietnam	13	123.92237	123.92237
12	3	2010	Black Swan	13	106.954678	331.26671
1	12	2001	Save the Last Dance	13	91.038276	131.638276
2	9	2011	Justin Bieber: Never Say Never	13	73.01391	99.034125
2	11	2000	Snow Day	13	60.008303	62.452927
1	23	2004	The Butterfly Effect	13	57.924679	96.046844
12	11	1974	The Godfather: Part II	13	57.3	57.3
7	17	1987	RoboCop	13	53.424681	53.424681
3	15	2013	The Call	13	51.872378	58.938768
8	19	1988	A Nightmare on Elm Street 4: The Dream Master	13	49.369899	49.369899
11	21	2007	This Christmas	13	49.121934	49.733545
2	14	2014	About Last Night	13	48.637684	48.637684
12	15	2000	Dude, Where's My Car?	13	46.729374	73.180297
8	12	1988	Young Guns	13	44.726644	44.726644
3	31	1999	Ten Things I Hate About You	13	38.177966	60.414025
5	10	2002	The New Guy	13	28.972187	28.972187
2	5	1993	Loaded Weapon 1	13	27.979399	27.979399
3	12	1999	Baby Geniuses	13	27.15149	27.15149
4	24	1998	The Big Hit	13	27.066941	27.066941
11	9	1990	Child's Play 2	13	26.904572	34.166572
7	10	1996	Harriet the Spy	13	26.570048	26.570048
3	1	2013	21 and Over	13	25.68238	42.195766
11	21	2007	The Mist	13	25.593755	54.77749
10	29	1999	Being John Malkovich	13	22.858926	32.382381
9	7	2001	Two Can Play That Game	13	22.235901	22.39145
3	22	2013	Admission	13	18.007317	18.007317
9	21	2012	The Perks of Being a Wallflower	13	17.742948	33.384127
6	29	2001	crazy/beautiful	13	16.929123	19.929123
8	28	1998	54	13	16.757163	16.757163
12	20	2006	Letters from Iwo Jima	13	13.756082	68.756082
5	29	2009	Män som hatar kvinnor	13	12.749992	109.421911
2	23	2007	The Astronaut Farmer	13	11.003643	11.141213
6	12	1998	Dirty Work	13	10.020081	10.020081
5	8	1998	Woo	13	8.064972	8.064972
4	13	1994	Serial Mom	13	7.881335	7.881335
8	4	1999	Dick	13	6.276869	6.276869
11	10	1999	Light It Up	13	5.871603	5.871603
8	24	2001	Bubble Boy	13	5.00231	5.00231
2	1	2002	Birthday Girl	13	4.919896	8.130727
5	4	2007	Paris, je t'aime	13	4.857374	4.857374
8	24	2007	Resurrecting the Champ	13	3.172382	3.260555
3	26	2010	Chloe	13	3.075255	9.675172
3	2	2001	The Widow of St. Pierre	13	3.05838	3.05838
4	5	1996	Faithful	13	2.104439	2.104439
2	26	2010	Un Prophète	13	2.08772	19.910624
12	3	2010	I Love You, Phillip Morris	13	2.037459	15.144685
3	17	2006	Find Me Guilty	13	1.173673	1.788077
5	14	1993	Excessive Force	13	1.152117	1.152117
10	13	2006	Infamous	13	1.15133	2.613717
7	29	2011	Attack the Block	13	1.024175	5.406422
12	29	2000	The Claim	13	0.622023	1.596672
6	18	2010	The Killer Inside Me	13	0.217277	3.617277
3	30	2012	Womb	13	0	0
12	31	2015	The Vatican Tapes	13	0	0
7	12	2002	Crocodile Hunter: Collision Course	12.5	28.436931	33.436931
