Release Month  Release Date	Release Year	Movie	Budget ($M)	Domestic ($M)	Worldwide ($M)
6	6	2008	Kung Fu Panda	130	215.434591	631.910531
10	28	2011	Puss in Boots	130	149.260504	554.987477
11	5	2010	Megamind	130	148.415853	321.887208
7	18	2003	Bad Boys II	130	138.54087	272.94087
4	11	2014	Rio 2	130	126.725182	471.425182
7	23	2010	Salt	130	118.311368	295.713467
3	28	2014	Noah	130	101.168331	352.168331
12	21	2011	The Adventures of Tintin	130	77.591831	373.993951
5	31	2013	After Earth	130	60.522097	244.373198
11	26	2008	Australia	130	49.554002	215.08081
7	19	2013	R.I.P.D.	130	33.618855	79.019947
11	18	2011	The Twilight Saga: Breaking Dawn, Part 1	127.5	281.287133	709.938657
5	19	2000	Dinosaur	127.5	137.748063	356.148063
5	15	2003	The Matrix Reloaded	127	281.553689	738.576929
7	15	2011	Harry Potter and the Deathly Hallows: Part II	125	381.011219	1328.111219
11	16	2001	Harry Potter and the Sorcerer's Stone	125	317.57555	974.755371
7	9	2003	Pirates of the Caribbean: The Curse of the Black Pearl	125	305.411224	634.954103
11	19	2010	Harry Potter and the Deathly Hallows: Part I	125	295.983305	956.399711
5	19	2006	The Da Vinci Code	125	217.536138	767.820459
5	2	2003	X2	125	214.949694	407.711549
4	29	2011	Fast Five	125	209.837675	629.841284
5	28	2004	The Day After Tomorrow	125	186.740799	556.31945
4	1	2010	Clash of the Titans	125	163.214888	493.214888
5	19	1998	Godzilla	125	136.314294	376
6	20	1997	Batman & Robin	125	107.325195	238.317814
8	3	2012	Total Recall	125	58.877969	198.615996
8	27	1999	The 13th Warrior	125	32.698899	61.698899
11	17	2000	How the Grinch Stole Christmas	123	260.044825	345.141403
5	24	2000	Mission: Impossible 2	120	215.409889	546.209889
6	30	2000	The Perfect Storm	120	182.618434	328.711434
6	15	2007	Fantastic Four: Rise of the Silver Surfer	120	131.921738	288.215319
11	21	2012	Life of Pi	120	124.987022	607.987022
2	16	2007	Ghost Rider	120	115.802596	237.702596
6	27	2003	Charlie's Angels: Full Throttle	120	100.814328	227.2
8	9	2013	Elysium	120	93.050117	286.192091
4	19	2013	Oblivion	120	89.107235	287.537983
7	19	2002	Stuart Little 2	120	64.956806	166
2	12	2014	RoboCop	120	58.607007	242.731818
6	11	2004	The Chronicles of Riddick	120	57.712751	107.212751
5	9	2008	Speed Racer	120	43.945766	93.394462
7	22	2005	The Island	120	35.818913	163.018913
12	17	2010	How Do You Know?	120	30.21262	48.668307
6	23	2010	Knight and Day	117	76.423035	262.142047
5	19	1999	Star Wars Ep. I: The Phantom Menace	115	474.544677	1007.044677
5	19	2005	Star Wars Ep. III: Revenge of the Sith	115	380.270577	848.998877
5	16	2002	Star Wars Ep. II: Attack of the Clones	115	310.67674	656.695615
11	2	2001	Monsters, Inc.	115	289.423425	559.757719
7	26	2013	The Wolverine	115	132.556852	416.456852
2	7	1997	Dante's Peak	115	67.163857	178.2
6	14	2002	Windtalkers	115	40.914068	77.628265
7	4	2008	Astérix aux Jeux Olympiques	113.5	0.999811	132.999811
12	25	2010	Gulliver's Travels	112	42.779261	239.179261
10	4	2013	Gravity	110	274.092705	716.392705
12	22	2006	Night at the Museum	110	250.863268	574.480841
6	10	2005	Mr. And Mrs. Smith	110	186.336279	478.336279
7	29	2011	The Smurfs	110	142.614158	563.066551
11	5	2003	The Matrix Revolutions	110	139.259759	424.259759
6	27	2007	Live Free or Die Hard	110	134.529403	383.531464
12	10	2004	Ocean's Twelve	110	125.531634	362.989076
12	19	1997	Tomorrow Never Dies	110	125.304276	339.504276
6	28	2000	The Patriot	110	113.330342	215.3
3	7	2014	300: Rise of an Empire	110	106.580051	330.780051
12	17	2004	The Aviator	110	102.608827	214.608827
1	14	2011	The Green Hornet	110	98.780042	227.98315
5	6	2005	Kingdom of Heaven	110	94.690422	266.145362
10	7	2011	Real Steel	110	85.463309	293.237309
6	11	2010	The A-Team	110	77.222099	177.241171
7	31	2013	The Smurfs 2	110	71.017784	348.547523
6	12	2009	The Taking of Pelham 123	110	65.452312	152.36437
11	1	2013	Ender's Game	110	61.737191	89.737191
4	2	2004	Home on the Range	110	50.026353	76.482461
6	13	1997	Speed II: Cruise Control	110	48.097081	150.468
6	16	2004	Around the World in 80 Days	110	24.004159	72.004159
12	19	2001	The Lord of the Rings: The Fellowship of the Ring	109	315.54475	887.217688
11	21	2003	The Cat in the Hat	109	101.018283	133.818283
